/opt/gap_sdk/tools/runner/run_gapuino.sh -v 1


[32m          ,ad8888ba,        db        88888888ba  [0m ad88888ba   
[32m         d8"'    `"8b      d88b       88      "8b[0m d8"     "8b  
[32m        d8'               d8'`8b      88      ,8P[0m Y8a     a8P  
[32m        88               d8'  `8b     88aaaaaa8P' [0m "Y8aaa8P"   
[32m        88      88888   d8YaaaaY8b    88""""""'  [0m  ,d8"""8b,   
[32m        Y8,        88  d8""""""""8b   88       [0m   d8"     "8b  
[32m         Y8a.    .a88 d8'        `8b  88        [0m  Y8a     a8P  
[32m          `"Y88888P" d8'          `8b 88         [0m  "Y88888P"   [0m

---------------------------------GAPUINO------------------------------------

Cable state change connected
Bridge init - log level 0
FC Frequency: 154009 kHz - Voltage: 1200 mV
Done generating 10k items table for seed = 10
run,freq,success,fail,total,time
18,215000000,1000000,0,1000000,1870
19,215000000,1000000,0,1000000,1850
20,215000000,1000000,0,1000000,1851
21,215000000,1000000,0,1000000,1876
22,215000000,1000000,0,1000000,1863
23,215000000,1000000,0,1000000,1878
24,215000000,1000000,0,1000000,1873
25,215000000,1000000,0,1000000,1881
26,215000000,1000000,0,1000000,1875
27,215000000,1000000,0,1000000,1904
28,215000000,1000000,0,1000000,1890
29,215000000,1000000,0,1000000,1878
30,215000000,1000000,0,1000000,1863
31,215000000,1000000,0,1000000,1858
32,215000000,1000000,0,1000000,1842
33,215000000,1000000,0,1000000,1852
34,215000000,1000000,0,1000000,1883
35,215000000,1000000,0,1000000,1830
36,215000000,1000000,0,1000000,1853
37,215000000,1000000,0,1000000,1886
38,215000000,1000000,0,1000000,1857
39,215000000,1000000,0,1000000,1843
40,215000000,1000000,0,1000000,1847
41,215000000,1000000,0,1000000,1865
42,215000000,1000000,0,1000000,1850
43,215000000,1000000,0,1000000,1854
44,215000000,1000000,0,1000000,1851
45,215000000,1000000,0,1000000,1860
46,215000000,1000000,0,1000000,1888
47,215000000,1000000,0,1000000,1858
48,215000000,1000000,0,1000000,1881
49,215000000,1000000,0,1000000,1867
50,215000000,1000000,0,1000000,1858
51,215000000,1000000,0,1000000,1873
52,215000000,1000000,0,1000000,1873
53,215000000,1000000,0,1000000,1876
54,215000000,1000000,0,1000000,1886
55,215000000,1000000,0,1000000,1881
56,215000000,1000000,0,1000000,1888
57,215000000,1000000,0,1000000,1895
58,215000000,1000000,0,1000000,1888
59,215000000,1000000,0,1000000,1885
60,215000000,1000000,0,1000000,1864
61,215000000,1000000,0,1000000,1876
62,215000000,1000000,0,1000000,1883
63,215000000,1000000,0,1000000,1895
64,215000000,1000000,0,1000000,1899
65,215000000,1000000,0,1000000,1897
66,215000000,1000000,0,1000000,1891
67,215000000,1000000,0,1000000,1856
68,215000000,1000000,0,1000000,1892
69,215000000,1000000,0,1000000,1883
70,215000000,1000000,0,1000000,1875
71,215000000,1000000,0,1000000,1903
72,215000000,1000000,0,1000000,1897
73,215000000,1000000,0,1000000,1907
74,215000000,1000000,0,1000000,1894
75,215000000,1000000,0,1000000,1918
76,215000000,1000000,0,1000000,1925
77,215000000,1000000,0,1000000,1907
78,215000000,1000000,0,1000000,1924
79,215000000,1000000,0,1000000,1926
80,215000000,1000000,0,1000000,1909
81,215000000,1000000,0,1000000,1922
82,215000000,1000000,0,1000000,1905
83,215000000,1000000,0,1000000,1904
84,215000000,1000000,0,1000000,1929
85,215000000,1000000,0,1000000,1910
86,215000000,1000000,0,1000000,1904
87,215000000,1000000,0,1000000,1905
88,215000000,1000000,0,1000000,1928
89,215000000,1000000,0,1000000,1910
90,215000000,1000000,0,1000000,1914
91,215000000,1000000,0,1000000,1914
92,215000000,1000000,0,1000000,1919
93,215000000,1000000,0,1000000,1910
94,215000000,1000000,0,1000000,1910
95,215000000,1000000,0,1000000,1913
96,215000000,1000000,0,1000000,1907
97,215000000,1000000,0,1000000,1900
98,215000000,1000000,0,1000000,1909
99,215000000,1000000,0,1000000,1919
0,220000000,1000000,0,1000000,1956
1,220000000,1000000,0,1000000,1977
2,220000000,1000000,0,1000000,1972
3,220000000,1000000,0,1000000,1980
4,220000000,1000000,0,1000000,1958
5,220000000,1000000,0,1000000,2008
6,220000000,1000000,0,1000000,1937
7,220000000,1000000,0,1000000,1938
8,220000000,1000000,0,1000000,1907
9,220000000,1000000,0,1000000,1955
10,220000000,1000000,0,1000000,1941
11,220000000,1000000,0,1000000,1936
12,220000000,1000000,0,1000000,1962
13,220000000,1000000,0,1000000,1971
14,220000000,1000000,0,1000000,1906
15,220000000,1000000,0,1000000,1968
16,220000000,1000000,0,1000000,1882
17,220000000,1000000,0,1000000,1986
18,220000000,1000000,0,1000000,1891
19,220000000,1000000,0,1000000,1915
20,220000000,1000000,0,1000000,1929
21,220000000,1000000,0,1000000,1970
22,220000000,1000000,0,1000000,1916
23,220000000,1000000,0,1000000,1946
24,220000000,1000000,0,1000000,1946
25,220000000,1000000,0,1000000,1923
