    CC  test.c
riscv32-unknown-elf-objdump -D /home/diego/workspace/gapuino-tests/ttf-continuous-mbedos/BUILD/GAP8/GCC_RISCV/test > /home/diego/workspace/gapuino-tests/ttf-continuous-mbedos/BUILD/GAP8/GCC_RISCV/test.s
/opt/gap_sdk/tools/runner/run_gapuino.sh -v 1


[32m          ,ad8888ba,        db        88888888ba  [0m ad88888ba   
[32m         d8"'    `"8b      d88b       88      "8b[0m d8"     "8b  
[32m        d8'               d8'`8b      88      ,8P[0m Y8a     a8P  
[32m        88               d8'  `8b     88aaaaaa8P' [0m "Y8aaa8P"   
[32m        88      88888   d8YaaaaY8b    88""""""'  [0m  ,d8"""8b,   
[32m        Y8,        88  d8""""""""8b   88       [0m   d8"     "8b  
[32m         Y8a.    .a88 d8'        `8b  88        [0m  Y8a     a8P  
[32m          `"Y88888P" d8'          `8b 88         [0m  "Y88888P"   [0m

---------------------------------GAPUINO------------------------------------

Cable state change connected
Bridge init - log level 0
FC Frequency: 148537 kHz - Voltage: 1200 mV
Done generating 10k items table for seed = 10
run,freq,success,fail,total,time
56,225000000,1000000,0,1000000,1865
57,225000000,1000000,0,1000000,1872
58,225000000,1000000,0,1000000,1867
59,225000000,1000000,0,1000000,1841
60,225000000,996524,1,996525,1832
61,225000000,1000000,0,1000000,1856
62,225000000,1000000,0,1000000,1924
63,225000000,1000000,0,1000000,1854
64,225000000,1000000,0,1000000,1876
65,225000000,1000000,0,1000000,1852
66,225000000,1000000,0,1000000,1874
67,225000000,1000000,0,1000000,1835
68,225000000,1000000,0,1000000,1826
69,225000000,986524,2,986526,1837
70,225000000,986524,2,986526,1923
71,225000000,1000000,0,1000000,1856
72,225000000,993048,1,993049,1874
73,225000000,966524,4,966528,1792
74,225000000,1000000,0,1000000,1846
75,225000000,1000000,0,1000000,1866
76,225000000,1000000,0,1000000,1832
77,225000000,950000,5,950005,1751
78,225000000,1000000,0,1000000,1930
79,225000000,996524,1,996525,1847
80,225000000,986524,2,986526,1847
81,225000000,1000000,0,1000000,1865
82,225000000,1000000,0,1000000,1866
83,225000000,1000000,0,1000000,1862
84,225000000,988489,3,988492,1833
85,225000000,1000000,0,1000000,1840
86,225000000,996524,1,996525,1925
87,225000000,1000000,0,1000000,1851
88,225000000,1000000,0,1000000,1892
89,225000000,990000,1,990001,1811
90,225000000,1000000,0,1000000,1849
91,225000000,983048,2,983050,1835
92,225000000,1000000,0,1000000,1858
93,225000000,1000000,0,1000000,1872
94,225000000,1000000,0,1000000,1927
95,225000000,1000000,0,1000000,1857
96,225000000,990000,1,990001,1826
97,225000000,1000000,0,1000000,1851
98,225000000,990000,1,990001,1829
99,225000000,983048,3,983051,1807
0,230000000,144,100,244,0
1,230000000,0,100,100,0
2,230000000,122,100,222,0
3,230000000,0,100,100,0
4,230000000,0,100,100,0
5,230000000,0,100,100,0
6,230000000,0,100,100,0
7,230000000,0,100,100,0
8,230000000,0,100,100,0
9,230000000,0,100,100,0
10,230000000,0,100,100,0
11,230000000,0,100,100,0
12,230000000,14,100,114,0
13,230000000,4,100,104,0
14,230000000,0,100,100,0
15,230000000,32,100,132,0
16,230000000,0,100,100,0
17,230000000,0,100,100,0
18,230000000,0,100,100,0
19,230000000,0,100,100,0
20,230000000,42,100,142,0
21,230000000,50,100,150,0
22,230000000,0,100,100,0
23,230000000,25,100,125,0
24,230000000,0,100,100,0
25,230000000,32,100,132,0
26,230000000,0,100,100,0
27,230000000,0,100,100,0
28,230000000,295,100,395,0
29,230000000,767,100,867,0
30,230000000,0,100,100,0
31,230000000,0,100,100,0
32,230000000,0,100,100,0
33,230000000,0,100,100,0
34,230000000,0,100,100,0
35,230000000,0,100,100,0
36,230000000,0,100,100,0
37,230000000,0,100,100,0
38,230000000,14,100,114,0
39,230000000,0,100,100,0
40,230000000,0,100,100,0
41,230000000,0,100,100,0
42,230000000,11,100,111,0
43,230000000,1415,100,1515,0
44,230000000,48,100,148,0
45,230000000,0,100,100,0
46,230000000,14,100,114,0
47,230000000,0,100,100,0
48,230000000,0,100,100,0
49,230000000,14,100,114,0
50,230000000,0,100,100,0
51,230000000,0,100,100,0
52,230000000,0,100,100,0
53,230000000,0,100,100,0
54,230000000,0,100,100,0
55,230000000,0,100,100,0
56,230000000,0,100,100,0
57,230000000,0,100,100,0
58,230000000,13,100,113,0
59,230000000,0,100,100,0
60,230000000,174,100,274,0
61,230000000,0,100,100,0
62,230000000,4,100,104,0
63,230000000,0,100,100,0
64,230000000,48,100,148,0
65,230000000,0,100,100,0
66,230000000,0,100,100,0
67,230000000,0,100,100,0
68,230000000,0,100,100,0
69,230000000,488,100,588,0
70,230000000,11,100,111,0
71,230000000,0,100,100,0
72,230000000,0,100,100,0
73,230000000,0,100,100,0
74,230000000,0,100,100,0
75,230000000,0,100,100,0
76,230000000,0,100,100,0
77,230000000,91,100,191,0
78,230000000,0,100,100,0
79,230000000,0,100,100,0
80,230000000,0,100,100,0
81,230000000,0,100,100,0
82,230000000,181,100,281,0
83,230000000,259,100,359,0
84,230000000,0,100,100,0
85,230000000,0,100,100,0
86,230000000,0,100,100,0
87,230000000,46,100,146,0
88,230000000,0,100,100,0
89,230000000,0,100,100,0
90,230000000,0,100,100,0
91,230000000,0,100,100,0
92,230000000,0,100,100,0
93,230000000,145,100,245,0
94,230000000,46,100,146,0
95,230000000,0,100,100,0
96,230000000,0,100,100,0
97,230000000,19,100,119,0
98,230000000,35,100,135,0
99,230000000,0,100,100,0
